Title,Description,Profile,Use Case,Tool(s),Link
"Deep Research: Student Study Help","Researching material for an upcoming final at school.","Student","Research & writing","Deep Research","https://drive.google.com/file/d/1twis-6VsFlINhlyM_SFB1GDK5HbDMs8g/view?usp=sharing"
"Gemini Notebook Study Tools","Synthesizing study materials for an upcoming final at school.","Student","Research & writing","Gemini Notebook","https://drive.google.com/file/d/15BbhTZ-BDYU0QQwtDqSc05aFVg1cMEdp/view?usp=sharing"
"Canvas: Flashcards & Quizzes","Uploading homework to create instant flashcards to study with.","Student","Homework & learning","Canvas","https://drive.google.com/file/d/1c6PPnWdnm8uwjVWyjcUSsarQdhGSMhqe/view?usp=sharing"
"Gmail Search & Discover","Having Gemini search in Gmail for email contents & ask follow ups.","Professional User","Professional use","Gemini","https://drive.google.com/file/d/1l1aScOWwvA7ijaAmevONBmDi8IXs0O1X/view?usp=sharing"
"Workspace Integration: Sheets Chart Visualization","Asking Gemini questions about the data & creating visualizations.","Professional User","Professional use","Google AI","https://drive.google.com/file/d/1HOOHzB0nSyEDJmMWGxsDFYQ6T-CBYvDK/view?usp=sharing"
"Google Meet Notes","Gemini notetaking in Google Meet and exporting sharable meeting minutes.","Professional User","Professional use","Google Meet","https://drive.google.com/file/d/1Adc31sf2h_uAoceb8DCI8rDh9Q0prN6j/view?usp=sharing"
"Extensions: Travel Planning","Planning a family vacation using the Google Flights and Google Hotels extensions.","Family (Shared Device)","Tasks & projects","Gemini","https://drive.google.com/file/d/1ZYZM5zW83TXTTNSOIu_s60bquripF-R_/view?usp=sharing"
"Canvas: Event Planning","Brainstorming ideas for a birthday party with Canvas.","Family (Shared Device)","Tasks & projects","Canvas","https://drive.google.com/file/d/16Uu3CnIV7Ko0gglJKCCLcPyJ9Ktr2Pjs/view?usp=sharing"
"Select To Search With Lens: Shopping from Image","Online shopping for a shirt found on a travel blog.","Everyday user","Tasks & projects","Gemini","https://drive.google.com/file/d/1NFp8rjWzS_syjSz6ipipSMRLLcHOkoQv/view?usp=sharing"
"Magic Eraser In Google Photos","Editing family vacation photos with Magic Editor in Google Photos.","Everyday user","Photo & video designing","Google Photos","https://drive.google.com/file/d/1kzRkAQVfgGL35YNkaGwkpnBofe_sqVXp/view?usp=sharing"
"Omni3 Generative Media (Learn About Gemini)","Using short prompts for realistic videos & adjusting prompts, featuring generic b-roll.","Professional User","Professional use","Omni","https://drive.google.com/file/d/1JKyJ53fj6d60RslcrY5W0c-35DpWfCpI/view?usp=sharing"
"Canvas: Website Development","Creating a website from scratch for a small business owner.","Professional User","Professional use","Canvas","https://drive.google.com/file/d/1FEnjVSsDhzPEsnGjBaNxmQOT8IAXmoy_/view?usp=sharing"
"Select To Search And Workspace Integration Across Gmail & Calendar","Creating a calendar event from a digital poster received via email by selecting event details of the image.","Family & Everyday user","Photo & video designing","Gemini","https://drive.google.com/file/d/1o2EkDb-cK7rPmwAwUEmDoyBG16GnQ-Sz/view?usp=sharing"
"Help Me Write:  Quick Insert Key","Access ‘Help Me Write’ using the Quick Insert Key to craft an email.","Everyday user","Research & writing","Google AI","https://drive.google.com/file/d/1oJnHGFCW9v7Nihzo_3Mx7lswQvxi5nOE/view?usp=sharing"
"Help Me Read: Simplify Tool","Break down lengthy documents to simple overviews and key takeaways.","Student & Professional","Professional use","Google AI","https://drive.google.com/file/d/1bGrX22wtf2Jrfrw-VztbMJIRBONai9Kj/view?usp=drive_link"
"Nano Banana: Stylized Profiles","Upload and stylize an image to make a fun profile picture.","Everyday user","Photo & video designing","Nano Banana","https://drive.google.com/file/d/1EUyEcKJFp3l23I5PQgphvh3P2vfS8U9Z/view?usp=sharing"
"Gemini: Gifting Brainstorm","Asking for ideas (and links to purchase) on birthday presents for a family member.","Everyday user","Tasks & projects","Gemini","https://drive.google.com/file/d/1qIAE2JwSvu_Qmup8xLHJ_Dy2Uo09eNJr/view?usp=sharing"
"Gaming Dashboard: Gameplay Recording (Non-AI)","Record screen during gameplay and upload to YouTube in a single click.","Gamer","Gaming","Gemini","https://drive.google.com/file/d/17NmWr68_DW_rsgSmFQu6rhutrs_8K2QX/view"
"Extensions: Google Maps Route Planning","Using the Google Maps extension to discover the best route to a family member's house, including information around any construction or potential slowdowns to avoid.","Family (Shared Device)","Tasks & projects","Maps","https://drive.google.com/file/d/13K6K4t6d3TRMoBHN9B8YQwEM2ECK1RpC/view?usp=sharing"
"Screen Cast (Non-AI)","Using the built-in Cast feature to put your Chromebook contents on the big screen.","Everyday user","Better Together","Gemini","https://drive.google.com/file/d/1AY58iSSF-SrQFxC3ZkaBDwdmsAwiDkWl/view?usp=sharing"
"Nano Banana: Twitch Badge Creation","Create a set of badges to provide Twitch subscribers.","Gamer","Photo & video designing","Nano Banana","https://drive.google.com/file/d/1SgZyXCcZoW37oUzRybUzzrkAPMuPDG1U/view?usp=sharing"
"Executive Summary Slide Generation","Creating an executive summary slide to open a presentation.","Professional User","Professional use","Google AI","https://drive.google.com/file/d/16BWkqv_Ib8GUvFwP6QeE4tT9CT-eY_g_/view?usp=sharing"
"Select To Search With Lens: Text Capture","Using the Select to Search with Lens Text Capture tool to quickly capture in-game IDs or usernames to add to friends lists.","Gamer","Gaming","Gemini","https://drive.google.com/file/d/1kx_kWB3TzXGe9UoUoucPFQL-jDOE95-6/view?usp=drive_link"
